SimpleName,num,bleu score,description,MethodName,all score
addCertStore,1,1,Adds a CertStore to the end of the list of CertStores used in finding certificates and CRLs.,;java.security.cert.PKIXParameters.addCertStore(CertStore),;1
addChildElement,1,1,Adds an existing element to the list of legal children for a given parent node type.,";javax.imageio.metadata.IIOMetadataFormatImpl.addChildElement(String,String)",;1
addChoosableFileFilter,1,1,"Adds a filter to the list of user choosable file filters. For information on setting the file selection mode, see setFileSelectionMode.",;javax.swing.JFileChooser.addChoosableFileFilter(FileFilter),;1
addChooserPanel,1,1,Adds a color chooser panel to the color chooser.,;javax.swing.JColorChooser.addChooserPanel(AbstractColorChooserPanel),;1
addColumnModelListener,1,1,Adds a listener for table column model events.,;javax.swing.table.DefaultTableColumnModel.addColumnModelListener(TableColumnModelListener),;1
addColumnSelectionInterval,1,1,"Adds the columns from index0 to index1, inclusive, to the current selection.",";javax.swing.JTable.addColumnSelectionInterval(int,int)",;1
addComponentListener,1,1,"Adds the specified component listener to receive component events from this component. If listener l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addComponentListener(ComponentListener),;1
addConnectionNotificationListener,1,1,Description copied from interface:JMXConnector,";javax.management.remote.rmi.RMIConnector.addConnectionNotificationListener(NotificationListener,NotificationFilter,Object)",;1
addContainerListener,1,1,"Adds the specified container listener to receive container events from this container. If l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Container.addContainerListener(ContainerListener),;1
addCSSAttribute,1,1,Adds a CSS attribute to the given set.,";javax.swing.text.html.StyleSheet.addCSSAttribute(MutableAttributeSet,CSS.Attribute,String)",;1
addCSSAttributeFromHTML,1,1,Adds a CSS attribute to the given set.,";javax.swing.text.html.StyleSheet.addCSSAttributeFromHTML(MutableAttributeSet,CSS.Attribute,String)",;1
addDragGestureListener,1,1,Register a new DragGestureListener.,;java.awt.dnd.DragGestureRecognizer.addDragGestureListener(DragGestureListener),;1
addDragSourceMotionListener,1,1,"Adds the specified DragSourceMotionListener to this DragSource to receive drag motion events during drag operations intiated with this DragSource. If a null listener is specified, no action is taken and no exception is thrown.",;java.awt.dnd.DragSource.addDragSourceMotionListener(DragSourceMotionListener),;1
addDropTargetListener,1,1,Adds a new DropTargetListener (UNICAST SOURCE).,;java.awt.dnd.DropTarget.addDropTargetListener(DropTargetListener),;1
addEditor,1,1,This public method is implementation specific and should be private. do not call or override. To implement a specific editor create a custom ComboBoxEditor,;javax.swing.plaf.basic.BasicComboBoxUI.addEditor(),;1
addFlavorForUnencodedNative,1,1,"Adds a mapping from a single String native to a single DataFlavor. Unlike getFlavorsForNative, the mapping will only be established in one direction, and the native will not be encoded. To establish a two-way mapping, call addUnencodedNativeForFlavor as well. The new mapping will be of lower priority than any existing mapping. This method has no effect if a mapping from the specified String native to the specified or equal DataFlavor already exists.",";java.awt.datatransfer.SystemFlavorMap.addFlavorForUnencodedNative(String,DataFlavor)",;1
addFlavorListener,1,1,"Registers the specified FlavorListener to receive FlavorEvents from this clipboard. If listener is null, no exception is thrown and no action is performed.",;java.awt.datatransfer.Clipboard.addFlavorListener(FlavorListener),;1
addFocusListener,1,1,"Adds the specified focus listener to receive focus events from this component when this component gains input focus. If listener l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addFocusListener(FocusListener),;1
addHandler,1,1,"Add a log Handler to receive logging messages. By default, Loggers also send their output to their parent logger. Typically the root Logger is configured with a set of Handlers that essentially act as default handlers for all loggers.",;java.util.logging.Logger.addHandler(Handler),;1
addHandshakeCompletedListener,1,1,Registers an event listener to receive notifications that an SSL handshake has completed on this connection.,;javax.net.ssl.SSLSocket.addHandshakeCompletedListener(HandshakeCompletedListener),;1
addHeader,1,1,Adds a MimeHeader object with the specified name and value to this MimeHeaders object's list of headers. Note that RFC822 headers can contain only US-ASCII characters.,";javax.xml.soap.MimeHeaders.addHeader(String,String)",;1
addHierarchyBoundsListener,1,1,"Adds the specified hierarchy bounds listener to receive hierarchy bounds events from this component when the hierarchy to which this container belongs changes. If listener l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addHierarchyBoundsListener(HierarchyBoundsListener),;1
addHierarchyListener,1,1,"Adds the specified hierarchy listener to receive hierarchy changed events from this component when the hierarchy to which this container belongs changes. If listener l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addHierarchyListener(HierarchyListener),;1
addHighlight,1,1,Adds a highlight to the view. Returns a tag that can be used to refer to the highlight.,";javax.swing.text.DefaultHighlighter.addHighlight(int,int,Highlighter.HighlightPainter)",;1
addHyperlinkListener,1,1,"Adds a hyperlink listener for notification of any changes, for example when a link is selected and entered.",;javax.swing.JEditorPane.addHyperlinkListener(HyperlinkListener),;1
addIcon,1,1,Creates and adds a JLabel representing the icon returned from getIcon to top. This is messaged from createMessageArea,;javax.swing.plaf.basic.BasicOptionPaneUI.addIcon(Container),;1
addIdentity,1,1,Deprecated.,;java.security.IdentityScope.addIdentity(Identity),;1
addIfAbsent,1,1,"Appends the element, if not present.",;java.util.concurrent.CopyOnWriteArrayList.addIfAbsent(E),;1
addIIOReadProgressListener,1,1,"Adds an IIOReadProgressListener to the list of registered progress listeners. If listener is null, no exception will be thrown and no action will be taken.",;javax.imageio.ImageReader.addIIOReadProgressListener(IIOReadProgressListener),;1
addIIOReadUpdateListener,1,1,"Adds an IIOReadUpdateListener to the list of registered update listeners. If listener is null, no exception will be thrown and no action will be taken. The listener will receive notification of pixel updates as images and thumbnails are decoded, including the starts and ends of progressive passes. If no update listeners are present, the reader may choose to perform fewer updates to the pixels of the destination images and/or thumbnails, which may result in more efficient decoding. For example, in progressive JPEG decoding each pass contains updates to a set of coefficients, which would have to be transformed into pixel values and converted to an RGB color space for each pass if listeners are present. If no listeners are present, the coefficients may simply be accumulated and the final results transformed and color converted one time only. The final results of decoding will be the same whether or not intermediate updates are performed. Thus if only the final image is desired it may be preferable not to register any IIOReadUpdateListeners. In general, progressive updating is most effective when fetching images over a network connection that is very slow compared to local CPU processing; over a fast connection, progressive updates may actually slow down the presentation of the image.",;javax.imageio.ImageReader.addIIOReadUpdateListener(IIOReadUpdateListener),;1
addIIOReadWarningListener,1,1,"Adds an IIOReadWarningListener to the list of registered warning listeners. If listener is null, no exception will be thrown and no action will be taken. Messages sent to the given listener will be localized, if possible, to match the current Locale. If no Locale has been set, warning messages may be localized as the reader sees fit.",;javax.imageio.ImageReader.addIIOReadWarningListener(IIOReadWarningListener),;1
addIIOWriteProgressListener,1,1,"Adds an IIOWriteProgressListener to the list of registered progress listeners. If listener is null, no exception will be thrown and no action will be taken.",;javax.imageio.ImageWriter.addIIOWriteProgressListener(IIOWriteProgressListener),;1
addIIOWriteWarningListener,1,1,"Adds an IIOWriteWarningListener to the list of registered warning listeners. If listener is null, no exception will be thrown and no action will be taken. Messages sent to the given listener will be localized, if possible, to match the current Locale. If no Locale has been set, warning messages may be localized as the writer sees fit.",;javax.imageio.ImageWriter.addIIOWriteWarningListener(IIOWriteWarningListener),;1
addInternal,1,1,"Returns the resulting multicast listener from adding listener-a and listener-b together. If listener-a is null, it returns listener-b; If listener-b is null, it returns listener-a If neither are null, then it creates and returns a new AWTEventMulticaster instance which chains a with b.",";java.awt.AWTEventMulticaster.addInternal(EventListener,EventListener)",;1
addInternalFrameListener,1,1,Adds the specified listener to receive internal frame events from this internal frame.,;javax.swing.JInternalFrame.addInternalFrameListener(InternalFrameListener),;1
addInvalidComponent,1,1,Mark the component as in need of layout and queue a runnable for the event dispatching thread that will validate the components first isValidateRoot() ancestor.,;javax.swing.RepaintManager.addInvalidComponent(JComponent),;1
addIssuer,1,1,"Adds a name to the issuerNames criterion. The issuer distinguished name in the X509CRL must match at least one of the specified distinguished names. This method allows the caller to add a name to the set of issuer names which X509CRLs may contain. The specified name is added to any previous value for the issuerNames criterion. If the specified name is a duplicate, it may be ignored.",;java.security.cert.X509CRLSelector.addIssuer(X500Principal),;1
addKeyEventDispatcher,1,1,"Adds a KeyEventDispatcher to this KeyboardFocusManager's dispatcher chain. This KeyboardFocusManager will request that each KeyEventDispatcher dispatch KeyEvents generated by the user before finally dispatching the KeyEvent itself. KeyEventDispatchers will be notified in the order in which they were added. Notifications will halt as soon as one KeyEventDispatcher returns true from its dispatchKeyEvent method. There is no limit to the total number of KeyEventDispatchers which can be added, nor to the number of times which a particular KeyEventDispatcher instance can be added. If a null dispatcher is specified, no action is taken and no exception is thrown. In a multithreaded application, KeyEventDispatcher behaves the same as other AWT listeners. See AWT Threading Issues for more details.",;java.awt.KeyboardFocusManager.addKeyEventDispatcher(KeyEventDispatcher),;1
addKeyEventPostProcessor,1,1,"Adds a KeyEventPostProcessor to this KeyboardFocusManager's post- processor chain. After a KeyEvent has been dispatched to and handled by its target, KeyboardFocusManager will request that each KeyEventPostProcessor perform any necessary post-processing as part of the KeyEvent's final resolution. KeyEventPostProcessors will be notified in the order in which they were added; the current KeyboardFocusManager will be notified last. Notifications will halt as soon as one KeyEventPostProcessor returns true from its postProcessKeyEvent method. There is no limit to the the total number of KeyEventPostProcessors that can be added, nor to the number of times that a particular KeyEventPostProcessor instance can be added. If a null post-processor is specified, no action is taken and no exception is thrown. In a multithreaded application, KeyEventPostProcessor behaves the same as other AWT listeners. See AWT Threading Issues for more details.",;java.awt.KeyboardFocusManager.addKeyEventPostProcessor(KeyEventPostProcessor),;1
addKeyListener,1,1,"Adds the specified key listener to receive key events from this component. If l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addKeyListener(KeyListener),;1
addKeymap,1,1,Adds a new keymap into the keymap hierarchy. Keymap bindings resolve from bottom up so an attribute specified in a child will override an attribute specified in the parent.,";javax.swing.text.JTextComponent.addKeymap(String,Keymap)",;1
addListDataListener,1,1,Adds a listener to the list that's notified each time a change to the data model occurs.,;javax.swing.AbstractListModel.addListDataListener(ListDataListener),;1
addLogger,1,1,Add a named logger. This does nothing and returns false if a logger with the same name is already registered. The Logger factory methods call this method to register each newly created Logger. The application should retain its own reference to the Logger object to avoid it being garbage collected. The LogManager may only retain a weak reference.,;java.util.logging.LogManager.addLogger(Logger),;1
addMailcap,1,1,Add entries to the registry. Programmatically added entries are searched before other entries. The string that is passed in should be in mailcap format.,;javax.activation.MailcapCommandMap.addMailcap(String),;1
addMenuDragMouseListener,1,1,Adds a MenuDragMouseListener to the menu item.,;javax.swing.JMenuItem.addMenuDragMouseListener(MenuDragMouseListener),;1
addMenuListener,1,1,Adds a listener for menu events.,;javax.swing.JMenu.addMenuListener(MenuListener),;1
addMessageComponents,1,1,"Creates the appropriate object to represent msg and places it into container. If msg is an instance of Component, it is added directly, if it is an Icon, a JLabel is created to represent it, otherwise a JLabel is created for the string, if d is an Object[], this method will be recursively invoked for the children. internallyCreated is true if Objc is an instance of Component and was created internally by this method (this is used to correctly set hasCustomComponents only if !internallyCreated).",";javax.swing.plaf.basic.BasicOptionPaneUI.addMessageComponents(Container,GridBagConstraints,Object,int,boolean)",;1
addMimeTypes,1,1,Prepend the MIME type values to the registry.,;javax.activation.MimetypesFileTypeMap.addMimeTypes(String),;1
addMouseWheelListener,1,1,"Adds the specified mouse wheel listener to receive mouse wheel events from this component. Containers also receive mouse wheel events from sub-components. For information on how mouse wheel events are dispatched, see the class description for MouseWheelEvent. If l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.Component.addMouseWheelListener(MouseWheelListener),;1
addObservedObject,1,1,"Adds the specified object in the set of observed MBeans, if this object is not already present.",;javax.management.monitor.Monitor.addObservedObject(ObjectName),;1
addObserver,1,1,"Adds an observer to the set of observers for this object, provided that it is not the same as some observer already in the set. The order in which notifications will be delivered to multiple observers is not specified. See the class comment.",;java.util.Observable.addObserver(Observer),;1
addPoint,1,1,"Appends the specified coordinates to this Polygon. If an operation that calculates the bounding box of this Polygon has already been performed, such as getBounds or contains, then this method updates the bounding box.",";java.awt.Polygon.addPoint(int,int)",;1
addProvider,1,1,"Adds a provider to the next position available. If there is a security manager, the SecurityManager.checkSecurityAccess(java.lang.String) method is called with the ""insertProvider"" permission target name to see if it's ok to add a new provider. If this permission check is denied, checkSecurityAccess is called again with the ""insertProvider.""+provider.getName() permission target name. If both checks are denied, a SecurityException is thrown.",;java.security.Security.addProvider(Provider),;1
addProviderAtEnd,1,1,"This method is used to indicate to the GSSManager that the application would like a particular provider to be used if no other provider can be found that supports the given mechanism. When a value of null is used instead of an Oid for the mechanism, the GSSManager must use the indicated provider for any mechanism. Calling this method repeatedly preserves the older settings but raises them above newer ones in preference thus forming an ordered list of providers and Oid pairs that grows at the bottom. Thus the older provider settings will be utilized first before this one is. If there are any previously existing preferences that conflict with the preference being set here, then the GSSManager should ignore this request. If the GSSManager implementation does not support an SPI with a pluggable provider architecture it should throw a GSSException with the status code GSSException.UNAVAILABLE to indicate that the operation is unavailable. Suppose an application desired that when a mechanism of Oid m1 is needed the system default providers always be checked first, and only when they do not support m1 should a provider A be checked. It would then make the call: GSSManager mgr = GSSManager.getInstance(); mgr.addProviderAtEnd(A, m1); Now, if it also desired that for all mechanisms the provider B be checked after all configured providers have been checked, it would then call: mgr.addProviderAtEnd(B, null); Effectively the list of preferences now becomes {..., (A, m1), (B, null)}. Suppose at a later time the following call is made to the same GSSManager instance: mgr.addProviderAtEnd(B, m2) then the previous setting with the pair (B, null) subsumes this and therefore this request should be ignored. The same would happen if a request is made for the already existing pairs of (A, m1) or (B, null). Please note, however, that the following call: mgr.addProviderAtEnd(A, null) is not subsumed by the previous setting of (A, m1) and the list will effectively become {..., (A, m1), (B, null), (A, null)}",";org.ietf.jgss.GSSManager.addProviderAtEnd(Provider,Oid)",;1
addProviderAtFront,1,1,"This method is used to indicate to the GSSManager that the application would like a particular provider to be used ahead of all others when support is desired for the given mechanism. When a value of null is used instead of an Oid for the mechanism, the GSSManager must use the indicated provider ahead of all others no matter what the mechanism is. Only when the indicated provider does not support the needed mechanism should the GSSManager move on to a different provider. Calling this method repeatedly preserves the older settings but lowers them in preference thus forming an ordered list of provider and Oid pairs that grows at the top. Calling addProviderAtFront with a null Oid will remove all previous preferences that were set for this provider in the GSSManager instance. Calling addProviderAtFront with a non-null Oid will remove any previous preference that was set using this mechanism and this provider together. If the GSSManager implementation does not support an SPI with a pluggable provider architecture it should throw a GSSException with the status code GSSException.UNAVAILABLE to indicate that the operation is unavailable. Suppose an application desired that the provider A always be checked first when any mechanism is needed, it would call: GSSManager mgr = GSSManager.getInstance(); // mgr may at this point have its own pre-configured list // of provider preferences. The following will prepend to // any such list: mgr.addProviderAtFront(A, null); Now if it also desired that the mechanism of Oid m1 always be obtained from the provider B before the previously set A was checked, it would call: mgr.addProviderAtFront(B, m1); The GSSManager would then first check with B if m1 was needed. In case B did not provide support for m1, the GSSManager would continue on to check with A. If any mechanism m2 is needed where m2 is different from m1 then the GSSManager would skip B and check with A directly. Suppose at a later time the following call is made to the same GSSManager instance: mgr.addProviderAtFront(B, null) then the previous setting with the pair (B, m1) is subsumed by this and should be removed. Effectively the list of preferences now becomes {(B, null), (A, null), ... //followed by the pre-configured list. Please note, however, that the following call: mgr.addProviderAtFront(A, m3) does not subsume the previous setting of (A, null) and the list will effectively become {(A, m3), (B, null), (A, null), ...}",";org.ietf.jgss.GSSManager.addProviderAtFront(Provider,Oid)",;1
addRelation,1,1,"Adds an MBean created by the user (and registered by him in the MBean Server) as a relation in the Relation Service. To be added as a relation, the MBean must conform to the following: - implement the Relation interface - have for RelationService ObjectName the ObjectName of current Relation Service - have a relation id unique and unused in current Relation Service - have for relation type a relation type created in the Relation Service - have roles conforming to the role info provided in the relation type.",;javax.management.relation.RelationService.addRelation(ObjectName),;1
addRelationType,1,1,Adds given object as a relation type. The object is expected to implement the RelationType interface.,;javax.management.relation.RelationService.addRelationType(RelationType),;1
addRenderingHints,1,1,Sets the values of an arbitrary number of preferences for the rendering algorithms. Only values for the rendering hints that are present in the specified Map object are modified. All other preferences not present in the specified object are left unmodified. Hint categories include controls for rendering quality and overall time/quality trade-off in the rendering process. Refer to the RenderingHints class for definitions of some common keys and values.,";java.awt.Graphics2D.addRenderingHints(Map&lt;?,?&gt;)",;1
addRequestProperty,1,1,Adds a general request property specified by a key-value pair. This method will not overwrite existing values associated with the same key.,";java.net.URLConnection.addRequestProperty(String,String)",;1
addResourceBundle,1,1,"Adds a resource bundle to the list of resource bundles that are searched for localized values. Resource bundles are searched in the reverse order they were added. In other words, the most recently added bundle is searched first.",;javax.swing.UIDefaults.addResourceBundle(String),;1
addResponseHeader,1,1,Adds a response header with the given name and value. This method allows a response header to have multiple values. This is a convenience method to add a response header(instead of using the getResponseHeaders()).,";javax.xml.ws.spi.http.HttpExchange.addResponseHeader(String,String)",;1
addRoleInfo,1,1,"Add a role info. This method of course should not be used after the creation of the relation type, because updating it would invalidate that the relations created associated to that type still conform to it. Can throw a RuntimeException if trying to update a relation type declared in the Relation Service.",;javax.management.relation.RelationTypeSupport.addRoleInfo(RoleInfo),;1
addRowSelectionInterval,1,1,"Adds the rows from index0 to index1, inclusive, to the current selection.",";javax.swing.JTable.addRowSelectionInterval(int,int)",;1
addRowSetListener,1,1,"The listener will be notified whenever an event occurs on this RowSet object. A listener might, for example, be a table or graph that needs to be updated in order to accurately reflect the current state of the RowSet object. Note: if the RowSetListener object is null, this method silently discards the null value and does not add a null reference to the set of listeners. Note: if the listener is already set, and the new RowSetListerner instance is added to the set of listeners already registered to receive event notifications from this RowSet.",;javax.sql.rowset.BaseRowSet.addRowSetListener(RowSetListener),;1
addRowSorterListener,1,1,Adds a RowSorterListener to receive notification about this RowSorter. If the same listener is added more than once it will receive multiple notifications. If l is null nothing is done.,;javax.swing.RowSorter.addRowSorterListener(RowSorterListener),;1
addRule,1,1,Adds a set of rules to the sheet. The rules are expected to be in valid CSS format. Typically this would be called as a result of parsing a &lt;style&gt; tag.,;javax.swing.text.html.StyleSheet.addRule(String),;1
addSelectionRow,1,1,Adds the path at the specified row to the current selection.,;javax.swing.JTree.addSelectionRow(int),;1
addSelectionRows,1,1,Adds the paths at each of the specified rows to the current selection.,;javax.swing.JTree.addSelectionRows(int[]),;1
addSingletonComponent,1,1,"Removes an existing component. When a new component, such as the left corner, or vertical scrollbar, is added, the old one, if it exists, must be removed. This method returns newC. If oldC is not equal to newC and is non-null, it will be removed from its parent.",";javax.swing.ScrollPaneLayout.addSingletonComponent(Component,Component)",;1
addStyleSheet,1,1,Adds the rules from the StyleSheet ss to those of the receiver. ss's rules will override the rules of any previously added style sheets. An added StyleSheet will never override the rules of the receiving style sheet.,;javax.swing.text.html.StyleSheet.addStyleSheet(StyleSheet),;1
addSubComponents,1,1,Override the parent's method avoid creating a menu bar. Metal frames do not have system menus.,;javax.swing.plaf.metal.MetalInternalFrameTitlePane.addSubComponents(),;1
addSuppressed,1,1,"Appends the specified exception to the exceptions that were suppressed in order to deliver this exception. This method is thread-safe and typically called (automatically and implicitly) by the try-with-resources statement. The suppression behavior is enabled unless disabled via a constructor. When suppression is disabled, this method does nothing other than to validate its argument. Note that when one exception causes another exception, the first exception is usually caught and then the second exception is thrown in response. In other words, there is a causal connection between the two exceptions. In contrast, there are situations where two independent exceptions can be thrown in sibling code blocks, in particular in the try block of a try-with-resources statement and the compiler-generated finally block which closes the resource. In these situations, only one of the thrown exceptions can be propagated. In the try-with-resources statement, when there are two such exceptions, the exception originating from the try block is propagated and the exception from the finally block is added to the list of exceptions suppressed by the exception from the try block. As an exception unwinds the stack, it can accumulate multiple suppressed exceptions. An exception may have suppressed exceptions while also being caused by another exception. Whether or not an exception has a cause is semantically known at the time of its creation, unlike whether or not an exception will suppress other exceptions which is typically only determined after an exception is thrown. Note that programmer written code is also able to take advantage of calling this method in situations where there are multiple sibling exceptions and only one can be propagated.",;java.lang.Throwable.addSuppressed(Throwable),;1
addSwaRefAttachment,1,1,"Add MIME data as an attachment and return attachment's content-id, cid. This method is called by JAXB marshal process for each element/attribute typed as {http://ws-i.org/profiles/basic/1.1/xsd}swaRef. The MIME-based package processor implementing this method is responsible for attaching the specified data to a MIME attachment, and generating a content-id, cid, that uniquely identifies the attachment within the MIME-based package. Caller inserts the returned content-id, cid, into the XML content being marshalled.",;javax.xml.bind.attachment.AttachmentMarshaller.addSwaRefAttachment(DataHandler),;1
addSystemMenuItems,1,1,Override the parent's method to do nothing. Metal frames do not have system menus.,;javax.swing.plaf.metal.MetalInternalFrameTitlePane.addSystemMenuItems(JMenu),;1
addTableModelListener,1,1,Adds a listener to the list that's notified each time a change to the data model occurs.,;javax.swing.table.AbstractTableModel.addTableModelListener(TableModelListener),;1
addTask,1,1,Add a task that is not needed immediately because the results are not believed to be visible.,;javax.swing.text.LayoutQueue.addTask(Runnable),;1
addTextListener,1,1,"Adds the specified text event listener to receive text events from this text component. If l is null, no exception is thrown and no action is performed. Refer to AWT Threading Issues for details on AWT's threading model.",;java.awt.TextComponent.addTextListener(TextListener),;1
addTileObserver,1,1,"Adds a tile observer. If the observer is already present, it receives multiple notifications.",;java.awt.image.BufferedImage.addTileObserver(TileObserver),;1
addToEnvironment,1,1,Description copied from interface:Context,";javax.naming.InitialContext.addToEnvironment(String,Object)",;1
addToPendingCount,1,1,Adds (atomically) the given value to the pending count.,;java.util.concurrent.CountedCompleter.addToPendingCount(int),;1
