package,class,class_description
java.awt,java.awt.PrintJob,An abstract class which initiates and executes a print job.
java.awt,java.awt.RadialGradientPaint,The RadialGradientPaint class provides a way to fill a shape with a circular radial color gradient pattern.
java.awt,java.awt.Rectangle,"A Rectangle specifies an area in a coordinate space that is enclosed by the Rectangle object's upper-left point (x,y) in the coordinate space, its width, and its height."
java.awt,java.awt.RenderingHints,The RenderingHints class defines and manages collections of keys and associated values which allow an application to provide input into the choice of algorithms used by other classes which perform rendering and image manipulation services.
java.awt,java.awt.RenderingHints.Key,Defines the base type of all keys used along with the RenderingHints class to control various algorithm choices in the rendering and imaging pipelines.
java.awt,java.awt.Robot,"This class is used to generate native system input events for the purposes of test automation, self-running demos, and other applications where control of the mouse and keyboard is needed."
java.awt,java.awt.Scrollbar,"The Scrollbar class embodies a scroll bar, a familiar user-interface object."
java.awt,java.awt.ScrollPane,A container class which implements automatic horizontal and/or vertical scrolling for a single child component.
java.awt,java.awt.ScrollPaneAdjustable,This class represents the state of a horizontal or vertical scrollbar of a ScrollPane.
java.awt,java.awt.SplashScreen,"The splash screen can be displayed at application startup, before the Java Virtual Machine (JVM) starts."
java.awt,java.awt.SystemColor,A class to encapsulate symbolic colors representing the color of native GUI objects on a system.
java.awt,java.awt.SystemTray,The SystemTray class represents the system tray for a desktop.
java.awt,java.awt.TextArea,A TextArea object is a multi-line region that displays text.
java.awt,java.awt.TextComponent,The TextComponent class is the superclass of any component that allows the editing of some text.
java.awt,java.awt.TextField,A TextField object is a text component that allows for the editing of a single line of text.
java.awt,java.awt.TexturePaint,The TexturePaint class provides a way to fill a Shape with a texture that is specified as a BufferedImage.
java.awt,java.awt.Toolkit,This class is the abstract superclass of all actual implementations of the Abstract Window Toolkit.
java.awt,java.awt.TrayIcon,A TrayIcon object represents a tray icon that can be added to the system tray.
java.awt,java.awt.Window,A Window object is a top-level window with no borders and no menubar.
java.awt.color,java.awt.color.ColorSpace,"This abstract class is used to serve as a color space tag to identify the specific color space of a Color object or, via a ColorModel object, of an Image, a BufferedImage, or a GraphicsDevice."
java.awt.color,java.awt.color.ICC_ColorSpace,The ICC_ColorSpace class is an implementation of the abstract ColorSpace class.
java.awt.color,java.awt.color.ICC_Profile,"A representation of color profile data for device independent and device dependent color spaces based on the International Color Consortium Specification ICC.1:2001-12, File Format for Color Profiles, (see http://www.color.org)."
java.awt.color,java.awt.color.ICC_ProfileGray,A subclass of the ICC_Profile class which represents profiles which meet the following criteria: the color space type of the profile is TYPE_GRAY and the profile includes the grayTRCTag and mediaWhitePointTag tags.
java.awt.color,java.awt.color.ICC_ProfileRGB,"The ICC_ProfileRGB class is a subclass of the ICC_Profile class that represents profiles which meet the following criteria: The profile's color space type is RGB. The profile includes the redColorantTag, greenColorantTag, blueColorantTag, redTRCTag, greenTRCTag, blueTRCTag, and mediaWhitePointTag tags. The ICC_Profile getInstance method will return an ICC_ProfileRGB object when these conditions are met."
java.awt.datatransfer,java.awt.datatransfer.Clipboard,A class that implements a mechanism to transfer data using cut/copy/paste operations.
java.awt.datatransfer,java.awt.datatransfer.DataFlavor,A DataFlavor provides meta information about data.
java.awt.datatransfer,java.awt.datatransfer.FlavorEvent,FlavorEvent is used to notify interested parties that available DataFlavors have changed in the Clipboard (the event source).
java.awt.datatransfer,java.awt.datatransfer.StringSelection,A Transferable which implements the capability required to transfer a String.
java.awt.datatransfer,java.awt.datatransfer.SystemFlavorMap,"The SystemFlavorMap is a configurable map between ""natives"" (Strings), which correspond to platform-specific data formats, and ""flavors"" (DataFlavors), which correspond to platform-independent MIME types."
java.awt.dnd,java.awt.dnd.DnDConstants,This class contains constant values representing the type of action(s) to be performed by a Drag and Drop operation.
java.awt.dnd,java.awt.dnd.DragGestureEvent,A DragGestureEvent is passed to DragGestureListener's dragGestureRecognized() method when a particular DragGestureRecognizer detects that a platform dependent drag initiating gesture has occurred on the Component that it is tracking.
java.awt.dnd,java.awt.dnd.DragGestureRecognizer,The DragGestureRecognizer is an abstract base class for the specification of a platform-dependent listener that can be associated with a particular Component in order to identify platform-dependent drag initiating gestures.
java.awt.dnd,java.awt.dnd.DragSource,"The DragSource is the entity responsible for the initiation of the Drag and Drop operation, and may be used in a number of scenarios: 1 default instance per JVM for the lifetime of that JVM."
java.awt.dnd,java.awt.dnd.DragSourceAdapter,An abstract adapter class for receiving drag source events.
java.awt.dnd,java.awt.dnd.DragSourceContext,The DragSourceContext class is responsible for managing the initiator side of the Drag and Drop protocol.
java.awt.dnd,java.awt.dnd.DragSourceDragEvent,"The DragSourceDragEvent is delivered from the DragSourceContextPeer, via the DragSourceContext, to the DragSourceListener registered with that DragSourceContext and with its associated DragSource."
java.awt.dnd,java.awt.dnd.DragSourceDropEvent,"The DragSourceDropEvent is delivered from the DragSourceContextPeer, via the DragSourceContext, to the dragDropEnd method of DragSourceListeners registered with that DragSourceContext and with its associated DragSource."
java.awt.dnd,java.awt.dnd.DragSourceEvent,This class is the base class for DragSourceDragEvent and DragSourceDropEvent.
java.awt.dnd,java.awt.dnd.DropTarget,The DropTarget is associated with a Component when that Component wishes to accept drops during Drag and Drop operations.
java.awt.dnd,java.awt.dnd.DropTarget.DropTargetAutoScroller,this protected nested class implements autoscrolling
java.awt.dnd,java.awt.dnd.DropTargetAdapter,An abstract adapter class for receiving drop target events.
java.awt.dnd,java.awt.dnd.DropTargetContext,A DropTargetContext is created whenever the logical cursor associated with a Drag and Drop operation coincides with the visible geometry of a Component associated with a DropTarget.
java.awt.dnd,java.awt.dnd.DropTargetDragEvent,The DropTargetDragEvent is delivered to a DropTargetListener via its dragEnter() and dragOver() methods.
java.awt.dnd,java.awt.dnd.DropTargetDropEvent,The DropTargetDropEvent is delivered via the DropTargetListener drop() method.
java.awt.dnd,java.awt.dnd.DropTargetEvent,The DropTargetEvent is the base class for both the DropTargetDragEvent and the DropTargetDropEvent.
java.awt.dnd,java.awt.dnd.MouseDragGestureRecognizer,This abstract subclass of DragGestureRecognizer defines a DragGestureRecognizer for mouse-based gestures.
java.awt.event,java.awt.event.ActionEvent,A semantic event which indicates that a component-defined action occurred.
java.awt.event,java.awt.event.AdjustmentEvent,The adjustment event emitted by Adjustable objects like Scrollbar and ScrollPane.
java.awt.event,java.awt.event.AWTEventListenerProxy,A class which extends the EventListenerProxy specifically for adding an AWTEventListener for a specific event mask.
java.awt.event,java.awt.event.ComponentAdapter,An abstract adapter class for receiving component events.
java.awt.event,java.awt.event.ComponentEvent,"A low-level event which indicates that a component moved, changed size, or changed visibility (also, the root class for the other component-level events)."
java.awt.event,java.awt.event.ContainerAdapter,An abstract adapter class for receiving container events.
java.awt.event,java.awt.event.ContainerEvent,A low-level event which indicates that a container's contents changed because a component was added or removed.
java.awt.event,java.awt.event.FocusAdapter,An abstract adapter class for receiving keyboard focus events.
java.awt.event,java.awt.event.FocusEvent,A low-level event which indicates that a Component has gained or lost the input focus.
java.awt.event,java.awt.event.HierarchyBoundsAdapter,An abstract adapter class for receiving ancestor moved and resized events.
java.awt.event,java.awt.event.HierarchyEvent,An event which indicates a change to the Component hierarchy to which Component belongs.
java.awt.event,java.awt.event.InputEvent,The root event class for all component-level input events.
java.awt.event,java.awt.event.InputMethodEvent,Input method events contain information about text that is being composed using an input method.
java.awt.event,java.awt.event.InvocationEvent,An event which executes the run() method on a Runnable when dispatched by the AWT event dispatcher thread.
java.awt.event,java.awt.event.ItemEvent,A semantic event which indicates that an item was selected or deselected.
java.awt.event,java.awt.event.KeyAdapter,An abstract adapter class for receiving keyboard events.
java.awt.event,java.awt.event.KeyEvent,An event which indicates that a keystroke occurred in a component.
java.awt.event,java.awt.event.MouseAdapter,An abstract adapter class for receiving mouse events.
java.awt.event,java.awt.event.MouseEvent,An event which indicates that a mouse action occurred in a component.
java.awt.event,java.awt.event.MouseMotionAdapter,An abstract adapter class for receiving mouse motion events.
java.awt.event,java.awt.event.MouseWheelEvent,An event which indicates that the mouse wheel was rotated in a component.
java.awt.event,java.awt.event.PaintEvent,The component-level paint event.
java.awt.event,java.awt.event.TextEvent,A semantic event which indicates that an object's text changed.
java.awt.event,java.awt.event.WindowAdapter,An abstract adapter class for receiving window events.
java.awt.event,java.awt.event.WindowEvent,A low-level event that indicates that a window has changed its status.
java.awt.font,java.awt.font.FontRenderContext,The FontRenderContext class is a container for the information needed to correctly measure text.
java.awt.font,java.awt.font.GlyphJustificationInfo,The GlyphJustificationInfo class represents information about the justification properties of a glyph.
java.awt.font,java.awt.font.GlyphMetrics,The GlyphMetrics class represents information for a single glyph.
java.awt.font,java.awt.font.GlyphVector,A GlyphVector object is a collection of glyphs containing geometric information for the placement of each glyph in a transformed coordinate space which corresponds to the device on which the GlyphVector is ultimately displayed.
java.awt.font,java.awt.font.GraphicAttribute,This class is used with the CHAR_REPLACEMENT attribute.
java.awt.font,java.awt.font.ImageGraphicAttribute,The ImageGraphicAttribute class is an implementation of GraphicAttribute which draws images in a TextLayout.
java.awt.font,java.awt.font.LayoutPath,LayoutPath provides a mapping between locations relative to the baseline and points in user space.
java.awt.font,java.awt.font.LineBreakMeasurer,The LineBreakMeasurer class allows styled text to be broken into lines (or segments) that fit within a particular visual advance.
java.awt.font,java.awt.font.LineMetrics,The LineMetrics class allows access to the metrics needed to layout characters along a line and to layout of a set of lines.
java.awt.font,java.awt.font.NumericShaper,The NumericShaper class is used to convert Latin-1 (European) digits to other Unicode decimal digits.
java.awt.font,java.awt.font.ShapeGraphicAttribute,The ShapeGraphicAttribute class is an implementation of GraphicAttribute that draws shapes in a TextLayout.
java.awt.font,java.awt.font.TextAttribute,The TextAttribute class defines attribute keys and attribute values used for text rendering.
java.awt.font,java.awt.font.TextHitInfo,"The TextHitInfo class represents a character position in a text model, and a bias, or ""side,"" of the character."
java.awt.font,java.awt.font.TextLayout,TextLayout is an immutable graphical representation of styled character data.
java.awt.font,java.awt.font.TextLayout.CaretPolicy,Defines a policy for determining the strong caret location.
java.awt.font,java.awt.font.TextMeasurer,"The TextMeasurer class provides the primitive operations needed for line break: measuring up to a given advance, determining the advance of a range of characters, and generating a TextLayout for a range of characters."
java.awt.font,java.awt.font.TransformAttribute,The TransformAttribute class provides an immutable wrapper for a transform so that it is safe to use as an attribute.
java.awt.geom,java.awt.geom.AffineTransform,"The AffineTransform class represents a 2D affine transform that performs a linear mapping from 2D coordinates to other 2D coordinates that preserves the ""straightness"" and ""parallelness"" of lines."
java.awt.geom,java.awt.geom.Arc2D,"Arc2D is the abstract superclass for all objects that store a 2D arc defined by a framing rectangle, start angle, angular extent (length of the arc), and a closure type (OPEN, CHORD, or PIE)."
java.awt.geom,java.awt.geom.Arc2D.Double,This class defines an arc specified in double precision.
java.awt.geom,java.awt.geom.Arc2D.Float,This class defines an arc specified in float precision.
java.awt.geom,java.awt.geom.Area,An Area object stores and manipulates a resolution-independent description of an enclosed area of 2-dimensional space.
java.awt.geom,java.awt.geom.CubicCurve2D,"The CubicCurve2D class defines a cubic parametric curve segment in (x,y) coordinate space."
java.awt.geom,java.awt.geom.CubicCurve2D.Double,A cubic parametric curve segment specified with double coordinates.
java.awt.geom,java.awt.geom.CubicCurve2D.Float,A cubic parametric curve segment specified with float coordinates.
java.awt.geom,java.awt.geom.Dimension2D,The Dimension2D class is to encapsulate a width and a height dimension.
java.awt.geom,java.awt.geom.Ellipse2D,The Ellipse2D class describes an ellipse that is defined by a framing rectangle.
java.awt.geom,java.awt.geom.Ellipse2D.Double,The Double class defines an ellipse specified in double precision.
java.awt.geom,java.awt.geom.Ellipse2D.Float,The Float class defines an ellipse specified in float precision.
java.awt.geom,java.awt.geom.FlatteningPathIterator,The FlatteningPathIterator class returns a flattened view of another PathIterator object.
java.awt.geom,java.awt.geom.GeneralPath,"The GeneralPath class represents a geometric path constructed from straight lines, and quadratic and cubic (B&eacute;zier) curves."
java.awt.geom,java.awt.geom.Line2D,"This Line2D represents a line segment in (x,y) coordinate space."
java.awt.geom,java.awt.geom.Line2D.Double,A line segment specified with double coordinates.
java.awt.geom,java.awt.geom.Line2D.Float,A line segment specified with float coordinates.
java.awt.geom,java.awt.geom.Path2D,"The Path2D class provides a simple, yet flexible shape which represents an arbitrary geometric path."
java.awt.geom,java.awt.geom.Path2D.Double,The Double class defines a geometric path with coordinates stored in double precision floating point.
java.awt.geom,java.awt.geom.Path2D.Float,The Float class defines a geometric path with coordinates stored in single precision floating point.
java.awt.geom,java.awt.geom.Point2D,"The Point2D class defines a point representing a location in (x,y) coordinate space."
java.awt.geom,java.awt.geom.Point2D.Double,The Double class defines a point specified in double precision.
java.awt.geom,java.awt.geom.Point2D.Float,The Float class defines a point specified in float precision.
java.awt.geom,java.awt.geom.QuadCurve2D,"The QuadCurve2D class defines a quadratic parametric curve segment in (x,y) coordinate space."
java.awt.geom,java.awt.geom.QuadCurve2D.Double,A quadratic parametric curve segment specified with double coordinates.
java.awt.geom,java.awt.geom.QuadCurve2D.Float,A quadratic parametric curve segment specified with float coordinates.
java.awt.geom,java.awt.geom.Rectangle2D,"The Rectangle2D class describes a rectangle defined by a location (x,y) and dimension (w x h)."
java.awt.geom,java.awt.geom.Rectangle2D.Double,The Double class defines a rectangle specified in double coordinates.
java.awt.geom,java.awt.geom.Rectangle2D.Float,The Float class defines a rectangle specified in float coordinates.
java.awt.geom,java.awt.geom.RectangularShape,RectangularShape is the base class for a number of Shape objects whose geometry is defined by a rectangular frame.
java.awt.geom,java.awt.geom.RoundRectangle2D,"The RoundRectangle2D class defines a rectangle with rounded corners defined by a location (x,y), a dimension (w x h), and the width and height of an arc with which to round the corners."
java.awt.geom,java.awt.geom.RoundRectangle2D.Double,The Double class defines a rectangle with rounded corners all specified in double coordinates.
java.awt.geom,java.awt.geom.RoundRectangle2D.Float,The Float class defines a rectangle with rounded corners all specified in float coordinates.
java.awt.im,java.awt.im.InputContext,Provides methods to control text input facilities such as input methods and keyboard layouts.
java.awt.im,java.awt.im.InputMethodHighlight,An InputMethodHighlight is used to describe the highlight attributes of text being composed.
java.awt.im,java.awt.im.InputSubset,Defines additional Unicode subsets for use by input methods.
java.awt.image,java.awt.image.AffineTransformOp,This class uses an affine transform to perform a linear mapping from 2D coordinates in the source image or Raster to 2D coordinates in the destination image or Raster.
java.awt.image,java.awt.image.AreaAveragingScaleFilter,An ImageFilter class for scaling images using a simple area averaging algorithm that produces smoother results than the nearest neighbor algorithm.
java.awt.image,java.awt.image.BandCombineOp,"This class performs an arbitrary linear combination of the bands in a Raster, using a specified matrix."
java.awt.image,java.awt.image.BandedSampleModel,This class represents image data which is stored in a band interleaved fashion and for which each sample of a pixel occupies one data element of the DataBuffer.
java.awt.image,java.awt.image.BufferedImage,The BufferedImage subclass describes an Image with an accessible buffer of image data.
java.awt.image,java.awt.image.BufferedImageFilter,The BufferedImageFilter class subclasses an ImageFilter to provide a simple means of using a single-source/single-destination image operator (BufferedImageOp) to filter a BufferedImage in the Image Producer/Consumer/Observer paradigm.
java.awt.image,java.awt.image.BufferStrategy,The BufferStrategy class represents the mechanism with which to organize complex memory on a particular Canvas or Window.
java.awt.image,java.awt.image.ByteLookupTable,This class defines a lookup table object.
java.awt.image,java.awt.image.ColorConvertOp,This class performs a pixel-by-pixel color conversion of the data in the source image.
java.awt.image,java.awt.image.ColorModel,"The ColorModel abstract class encapsulates the methods for translating a pixel value to color components (for example, red, green, and blue) and an alpha component."
java.awt.image,java.awt.image.ComponentColorModel,A ColorModel class that works with pixel values that represent color and alpha information as separate samples and that store each sample in a separate data element.
java.awt.image,java.awt.image.ComponentSampleModel,This class represents image data which is stored such that each sample of a pixel occupies one data element of the DataBuffer.
java.awt.image,java.awt.image.ConvolveOp,This class implements a convolution from the source to the destination.
java.awt.image,java.awt.image.CropImageFilter,An ImageFilter class for cropping images.
java.awt.image,java.awt.image.DataBuffer,This class exists to wrap one or more data arrays.
java.awt.image,java.awt.image.DataBufferByte,This class extends DataBuffer and stores data internally as bytes.
java.awt.image,java.awt.image.DataBufferDouble,This class extends DataBuffer and stores data internally in double form.
java.awt.image,java.awt.image.DataBufferFloat,This class extends DataBuffer and stores data internally in float form.
java.awt.image,java.awt.image.DataBufferInt,This class extends DataBuffer and stores data internally as integers.
java.awt.image,java.awt.image.DataBufferShort,This class extends DataBuffer and stores data internally as shorts.
java.awt.image,java.awt.image.DataBufferUShort,This class extends DataBuffer and stores data internally as shorts.
java.awt.image,java.awt.image.DirectColorModel,"The DirectColorModel class is a ColorModel class that works with pixel values that represent RGB color and alpha information as separate samples and that pack all samples for a single pixel into a single int, short, or byte quantity."
java.awt.image,java.awt.image.FilteredImageSource,This class is an implementation of the ImageProducer interface which takes an existing image and a filter object and uses them to produce image data for a new filtered version of the original image.
java.awt.image,java.awt.image.ImageFilter,This class implements a filter for the set of interface methods that are used to deliver data from an ImageProducer to an ImageConsumer.
java.awt.image,java.awt.image.IndexColorModel,The IndexColorModel class is a ColorModel class that works with pixel values consisting of a single sample that is an index into a fixed colormap in the default sRGB color space.
java.awt.image,java.awt.image.Kernel,The Kernel class defines a matrix that describes how a specified pixel and its surrounding pixels affect the value computed for the pixel's position in the output image of a filtering operation.
java.awt.image,java.awt.image.LookupOp,This class implements a lookup operation from the source to the destination.
java.awt.image,java.awt.image.LookupTable,This abstract class defines a lookup table object.
java.awt.image,java.awt.image.MemoryImageSource,This class is an implementation of the ImageProducer interface which uses an array to produce pixel values for an Image.
java.awt.image,java.awt.image.MultiPixelPackedSampleModel,The MultiPixelPackedSampleModel class represents one-banded images and can pack multiple one-sample pixels into one data element.
java.awt.image,java.awt.image.PackedColorModel,"The PackedColorModel class is an abstract ColorModel class that works with pixel values which represent color and alpha information as separate samples and which pack all samples for a single pixel into a single int, short, or byte quantity."
java.awt.image,java.awt.image.PixelGrabber,The PixelGrabber class implements an ImageConsumer which can be attached to an Image or ImageProducer object to retrieve a subset of the pixels in that image.
java.awt.image,java.awt.image.PixelInterleavedSampleModel,This class represents image data which is stored in a pixel interleaved fashion and for which each sample of a pixel occupies one data element of the DataBuffer.
java.awt.image,java.awt.image.Raster,A class representing a rectangular array of pixels.
java.awt.image,java.awt.image.ReplicateScaleFilter,An ImageFilter class for scaling images using the simplest algorithm.
java.awt.image,java.awt.image.RescaleOp,This class performs a pixel-by-pixel rescaling of the data in the source image by multiplying the sample values for each pixel by a scale factor and then adding an offset.
java.awt.image,java.awt.image.RGBImageFilter,This class provides an easy way to create an ImageFilter which modifies the pixels of an image in the default RGB ColorModel.
java.awt.image,java.awt.image.SampleModel,This abstract class defines an interface for extracting samples of pixels in an image.
java.awt.image,java.awt.image.ShortLookupTable,This class defines a lookup table object.
java.awt.image,java.awt.image.SinglePixelPackedSampleModel,"This class represents pixel data packed such that the N samples which make up a single pixel are stored in a single data array element, and each data data array element holds samples for only one pixel."
java.awt.image,java.awt.image.VolatileImage,"VolatileImage is an image which can lose its contents at any time due to circumstances beyond the control of the application (e.g., situations caused by the operating system or by other applications)."
java.awt.image,java.awt.image.WritableRaster,This class extends Raster to provide pixel writing capabilities.
java.awt.image.renderable,java.awt.image.renderable.ParameterBlock,"A ParameterBlock encapsulates all the information about sources and parameters (Objects) required by a RenderableImageOp, or other classes that process images."
java.awt.image.renderable,java.awt.image.renderable.RenderableImageOp,This class handles the renderable aspects of an operation with help from its associated instance of a ContextualRenderedImageFactory.
java.awt.image.renderable,java.awt.image.renderable.RenderableImageProducer,An adapter class that implements ImageProducer to allow the asynchronous production of a RenderableImage.
java.awt.image.renderable,java.awt.image.renderable.RenderContext,A RenderContext encapsulates the information needed to produce a specific rendering from a RenderableImage.
java.awt.print,java.awt.print.Book,The Book class provides a representation of a document in which pages may have different page formats and page painters.
java.awt.print,java.awt.print.PageFormat,The PageFormat class describes the size and orientation of a page to be printed.
java.awt.print,java.awt.print.Paper,The Paper class describes the physical characteristics of a piece of paper.
java.awt.print,java.awt.print.PrinterJob,The PrinterJob class is the principal class that controls printing.
java.beans,java.beans.BeanDescriptor,"A BeanDescriptor provides global information about a ""bean"", including its Java class, its displayName, etc."
java.beans,java.beans.Beans,This class provides some general purpose beans control methods.
java.beans,java.beans.DefaultPersistenceDelegate,The DefaultPersistenceDelegate is a concrete implementation of the abstract PersistenceDelegate class and is the delegate used by default for classes about which no information is available.
