method,return_type,return_description
java.awt.AWTEventMulticaster.keyTyped(KeyEvent),void,
java.awt.AWTEventMulticaster.keyPressed(KeyEvent),void,
java.awt.AWTEventMulticaster.keyReleased(KeyEvent),void,
java.awt.AWTEventMulticaster.mouseClicked(MouseEvent),void,
java.awt.AWTEventMulticaster.mousePressed(MouseEvent),void,
java.awt.AWTEventMulticaster.mouseReleased(MouseEvent),void,
java.awt.AWTEventMulticaster.mouseEntered(MouseEvent),void,
java.awt.AWTEventMulticaster.mouseExited(MouseEvent),void,
java.awt.AWTEventMulticaster.mouseDragged(MouseEvent),void,
java.awt.AWTEventMulticaster.mouseMoved(MouseEvent),void,
java.awt.AWTEventMulticaster.windowOpened(WindowEvent),void,
java.awt.AWTEventMulticaster.windowClosing(WindowEvent),void,
java.awt.AWTEventMulticaster.windowClosed(WindowEvent),void,
java.awt.AWTEventMulticaster.windowIconified(WindowEvent),void,
java.awt.AWTEventMulticaster.windowDeiconified(WindowEvent),void,
java.awt.AWTEventMulticaster.windowActivated(WindowEvent),void,
java.awt.AWTEventMulticaster.windowDeactivated(WindowEvent),void,
java.awt.AWTEventMulticaster.windowStateChanged(WindowEvent),void,
java.awt.AWTEventMulticaster.windowGainedFocus(WindowEvent),void,
java.awt.AWTEventMulticaster.windowLostFocus(WindowEvent),void,
java.awt.AWTEventMulticaster.actionPerformed(ActionEvent),void,
java.awt.AWTEventMulticaster.itemStateChanged(ItemEvent),void,
java.awt.AWTEventMulticaster.adjustmentValueChanged(AdjustmentEvent),void,
java.awt.AWTEventMulticaster.textValueChanged(TextEvent),void,
java.awt.AWTEventMulticaster.inputMethodTextChanged(InputMethodEvent),void,
java.awt.AWTEventMulticaster.caretPositionChanged(InputMethodEvent),void,
java.awt.AWTEventMulticaster.hierarchyChanged(HierarchyEvent),void,
java.awt.AWTEventMulticaster.ancestorMoved(HierarchyEvent),void,
java.awt.AWTEventMulticaster.ancestorResized(HierarchyEvent),void,
java.awt.AWTEventMulticaster.mouseWheelMoved(MouseWheelEvent),void,
"java.awt.AWTEventMulticaster.add(ComponentListener,ComponentListener)",ComponentListener,
"java.awt.AWTEventMulticaster.add(ContainerListener,ContainerListener)",ContainerListener,
"java.awt.AWTEventMulticaster.add(FocusListener,FocusListener)",FocusListener,
"java.awt.AWTEventMulticaster.add(KeyListener,KeyListener)",KeyListener,
"java.awt.AWTEventMulticaster.add(MouseListener,MouseListener)",MouseListener,
"java.awt.AWTEventMulticaster.add(MouseMotionListener,MouseMotionListener)",MouseMotionListener,
"java.awt.AWTEventMulticaster.add(WindowListener,WindowListener)",WindowListener,
"java.awt.AWTEventMulticaster.add(WindowStateListener,WindowStateListener)",WindowStateListener,
"java.awt.AWTEventMulticaster.add(WindowFocusListener,WindowFocusListener)",WindowFocusListener,
"java.awt.AWTEventMulticaster.add(ActionListener,ActionListener)",ActionListener,
"java.awt.AWTEventMulticaster.add(ItemListener,ItemListener)",ItemListener,
"java.awt.AWTEventMulticaster.add(AdjustmentListener,AdjustmentListener)",AdjustmentListener,
"java.awt.AWTEventMulticaster.add(TextListener,TextListener)",TextListener,
"java.awt.AWTEventMulticaster.add(InputMethodListener,InputMethodListener)",InputMethodListener,
"java.awt.AWTEventMulticaster.add(HierarchyListener,HierarchyListener)",HierarchyListener,
"java.awt.AWTEventMulticaster.add(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,
"java.awt.AWTEventMulticaster.add(MouseWheelListener,MouseWheelListener)",MouseWheelListener,
"java.awt.AWTEventMulticaster.remove(ComponentListener,ComponentListener)",ComponentListener,
"java.awt.AWTEventMulticaster.remove(ContainerListener,ContainerListener)",ContainerListener,
"java.awt.AWTEventMulticaster.remove(FocusListener,FocusListener)",FocusListener,
"java.awt.AWTEventMulticaster.remove(KeyListener,KeyListener)",KeyListener,
"java.awt.AWTEventMulticaster.remove(MouseListener,MouseListener)",MouseListener,
"java.awt.AWTEventMulticaster.remove(MouseMotionListener,MouseMotionListener)",MouseMotionListener,
"java.awt.AWTEventMulticaster.remove(WindowListener,WindowListener)",WindowListener,
"java.awt.AWTEventMulticaster.remove(WindowStateListener,WindowStateListener)",WindowStateListener,
"java.awt.AWTEventMulticaster.remove(WindowFocusListener,WindowFocusListener)",WindowFocusListener,
"java.awt.AWTEventMulticaster.remove(ActionListener,ActionListener)",ActionListener,
"java.awt.AWTEventMulticaster.remove(ItemListener,ItemListener)",ItemListener,
"java.awt.AWTEventMulticaster.remove(AdjustmentListener,AdjustmentListener)",AdjustmentListener,
"java.awt.AWTEventMulticaster.remove(TextListener,TextListener)",TextListener,
"java.awt.AWTEventMulticaster.remove(InputMethodListener,InputMethodListener)",InputMethodListener,
"java.awt.AWTEventMulticaster.remove(HierarchyListener,HierarchyListener)",HierarchyListener,
"java.awt.AWTEventMulticaster.remove(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,
"java.awt.AWTEventMulticaster.remove(MouseWheelListener,MouseWheelListener)",MouseWheelListener,
"java.awt.AWTEventMulticaster.addInternal(EventListener,EventListener)",EventListener,
"java.awt.AWTEventMulticaster.removeInternal(EventListener,EventListener)",EventListener,
"java.awt.AWTEventMulticaster.saveInternal(ObjectOutputStream,String)",void,
"java.awt.AWTEventMulticaster.save(ObjectOutputStream,String,EventListener)",void,
"java.awt.AWTEventMulticaster.getListeners(EventListener,Class&lt;T&gt;)",&lt;T extends EventListener&gt;T[],"an array of all objects chained as FooListeners by the specified multicast listener, or an empty array if no such listeners have been chained by the specified multicast listener"
java.awt.AWTKeyStroke.registerSubclass(Class&lt;?&gt;),void,
java.awt.AWTKeyStroke.getAWTKeyStroke(char),AWTKeyStroke,an AWTKeyStroke object for that key
"java.awt.AWTKeyStroke.getAWTKeyStroke(Character,int)",AWTKeyStroke,
"java.awt.AWTKeyStroke.getAWTKeyStroke(int,int,boolean)",AWTKeyStroke,
"java.awt.AWTKeyStroke.getAWTKeyStroke(int,int)",AWTKeyStroke,
java.awt.AWTKeyStroke.getAWTKeyStrokeForEvent(KeyEvent),AWTKeyStroke,the AWTKeyStroke that precipitated the event
java.awt.AWTKeyStroke.getAWTKeyStroke(String),AWTKeyStroke,an AWTKeyStroke object for that String
java.awt.AWTKeyStroke.getKeyChar(),char,a char value
java.awt.AWTKeyStroke.getKeyCode(),int,an int containing the key code value
java.awt.AWTKeyStroke.getModifiers(),int,an int containing the modifiers
java.awt.AWTKeyStroke.isOnKeyRelease(),boolean,true if this AWTKeyStroke represents a key release; false otherwise
java.awt.AWTKeyStroke.getKeyEventType(),int,"KeyEvent.KEY_PRESSED, KeyEvent.KEY_TYPED, or KeyEvent.KEY_RELEASED"
java.awt.AWTKeyStroke.hashCode(),int,an int that represents this object
java.awt.AWTKeyStroke.equals(Object),boolean,true if the objects are identical
java.awt.AWTKeyStroke.toString(),String,a String representation of this object
java.awt.AWTKeyStroke.readResolve(),Object,a cached instance which is equal to this instance
java.awt.BasicStroke.createStrokedShape(Shape),Shape,the Shape of the stroked outline.
java.awt.BasicStroke.getLineWidth(),float,the line width of this BasicStroke.
java.awt.BasicStroke.getEndCap(),int,the end cap style of this BasicStroke as one of the static int values that define possible end cap styles.
java.awt.BasicStroke.getLineJoin(),int,the line join style of the BasicStroke as one of the static int values that define possible line join styles.
java.awt.BasicStroke.getMiterLimit(),float,the limit of miter joins of the BasicStroke.
java.awt.BasicStroke.getDashArray(),float[],the dash array.
java.awt.BasicStroke.getDashPhase(),float,the dash phase as a float value.
java.awt.BasicStroke.hashCode(),int,a hash code for this stroke.
java.awt.BasicStroke.equals(Object),boolean,"true if the width, join, cap, miter limit, dash, and dash phase are the same for both objects; false otherwise."
java.awt.BorderLayout.getHgap(),int,
java.awt.BorderLayout.setHgap(int),void,
java.awt.BorderLayout.getVgap(),int,
java.awt.BorderLayout.setVgap(int),void,
"java.awt.BorderLayout.addLayoutComponent(Component,Object)",void,
"java.awt.BorderLayout.addLayoutComponent(String,Component)",void,
java.awt.BorderLayout.removeLayoutComponent(Component),void,
java.awt.BorderLayout.getLayoutComponent(Object),Component,"the component at the given location, or null if the location is empty"
"java.awt.BorderLayout.getLayoutComponent(Container,Object)",Component,"the component at the given location, or null if the location is empty"
java.awt.BorderLayout.getConstraints(Component),Object,"the constraint for the specified component, or null if component is null or is not present in this layout"
java.awt.BorderLayout.minimumLayoutSize(Container),Dimension,the minimum dimensions needed to lay out the subcomponents of the specified container.
java.awt.BorderLayout.preferredLayoutSize(Container),Dimension,the preferred dimensions to lay out the subcomponents of the specified container.
java.awt.BorderLayout.maximumLayoutSize(Container),Dimension,
java.awt.BorderLayout.getLayoutAlignmentX(Container),float,
java.awt.BorderLayout.getLayoutAlignmentY(Container),float,
java.awt.BorderLayout.invalidateLayout(Container),void,
java.awt.BorderLayout.layoutContainer(Container),void,
java.awt.BorderLayout.toString(),String,a string representation of this border layout.
java.awt.BufferCapabilities.getFrontBufferCapabilities(),ImageCapabilities,the image capabilities of the front (displayed) buffer
java.awt.BufferCapabilities.getBackBufferCapabilities(),ImageCapabilities,the image capabilities of all back buffers (intermediate buffers are considered back buffers)
java.awt.BufferCapabilities.isPageFlipping(),boolean,"whether or not the buffer strategy uses page flipping; a set of buffers that uses page flipping can swap the contents internally between the front buffer and one or more back buffers by switching the video pointer (or by copying memory internally). A non-flipping set of buffers uses blitting to copy the contents from one buffer to another; when this is the case, getFlipContents returns null"
java.awt.BufferCapabilities.getFlipContents(),BufferCapabilities.FlipContents,"the resulting contents of the back buffer after page-flipping. This value is null when the isPageFlipping returns false, implying blitting. It can be one of FlipContents.UNDEFINED (the assumed default), FlipContents.BACKGROUND, FlipContents.PRIOR, or FlipContents.COPIED."
java.awt.BufferCapabilities.isFullScreenRequired(),boolean,"whether page flipping is only available in full-screen mode. If this is true, full-screen exclusive mode is required for page-flipping."
java.awt.BufferCapabilities.isMultiBufferAvailable(),boolean,whether or not page flipping can be performed using more than two buffers (one or more intermediate buffers as well as the front and back buffer).
java.awt.BufferCapabilities.clone(),Object,a copy of this BufferCapabilities object.
java.awt.BufferCapabilities.FlipContents.hashCode(),int,
java.awt.BufferCapabilities.FlipContents.toString(),String,a string representation of the object.
java.awt.Button.addNotify(),void,
java.awt.Button.getLabel(),String,"the button's label, or null if the button has no label."
java.awt.Button.setLabel(String),void,
java.awt.Button.setActionCommand(String),void,
java.awt.Button.getActionCommand(),String,
java.awt.Button.addActionListener(ActionListener),void,
java.awt.Button.removeActionListener(ActionListener),void,
java.awt.Button.getActionListeners(),ActionListener[],all of this button's ActionListeners or an empty array if no action listeners are currently registered
java.awt.Button.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this button, or an empty array if no such listeners have been added"
java.awt.Button.processEvent(AWTEvent),void,
java.awt.Button.processActionEvent(ActionEvent),void,
java.awt.Button.paramString(),String,the parameter string of this button
java.awt.Button.getAccessibleContext(),AccessibleContext,an AccessibleAWTButton that serves as the AccessibleContext of this Button
java.awt.Canvas.addNotify(),void,
java.awt.Canvas.paint(Graphics),void,
java.awt.Canvas.update(Graphics),void,
java.awt.Canvas.createBufferStrategy(int),void,
"java.awt.Canvas.createBufferStrategy(int,BufferCapabilities)",void,
java.awt.Canvas.getBufferStrategy(),BufferStrategy,the buffer strategy used by this component
java.awt.Canvas.getAccessibleContext(),AccessibleContext,an AccessibleAWTCanvas that serves as the AccessibleContext of this Canvas
java.awt.CardLayout.getHgap(),int,the horizontal gap between components.
java.awt.CardLayout.setHgap(int),void,
java.awt.CardLayout.getVgap(),int,the vertical gap between components.
java.awt.CardLayout.setVgap(int),void,
"java.awt.CardLayout.addLayoutComponent(Component,Object)",void,
"java.awt.CardLayout.addLayoutComponent(String,Component)",void,
java.awt.CardLayout.removeLayoutComponent(Component),void,
java.awt.CardLayout.preferredLayoutSize(Container),Dimension,the preferred dimensions to lay out the subcomponents of the specified container
java.awt.CardLayout.minimumLayoutSize(Container),Dimension,the minimum dimensions required to lay out the subcomponents of the specified container
java.awt.CardLayout.maximumLayoutSize(Container),Dimension,
java.awt.CardLayout.getLayoutAlignmentX(Container),float,
java.awt.CardLayout.getLayoutAlignmentY(Container),float,
java.awt.CardLayout.invalidateLayout(Container),void,
java.awt.CardLayout.layoutContainer(Container),void,
java.awt.CardLayout.first(Container),void,
java.awt.CardLayout.next(Container),void,
java.awt.CardLayout.previous(Container),void,
java.awt.CardLayout.last(Container),void,
"java.awt.CardLayout.show(Container,String)",void,
java.awt.CardLayout.toString(),String,a string representation of this card layout.
java.awt.Checkbox.addNotify(),void,
java.awt.Checkbox.getLabel(),String,"the label of this check box, or null if this check box has no label."
java.awt.Checkbox.setLabel(String),void,
java.awt.Checkbox.getState(),boolean,"the state of this check box, as a boolean value"
java.awt.Checkbox.setState(boolean),void,
java.awt.Checkbox.getSelectedObjects(),Object[],
java.awt.Checkbox.getCheckboxGroup(),CheckboxGroup,"this check box's group, or null if the check box is not part of a check box group."
java.awt.Checkbox.setCheckboxGroup(CheckboxGroup),void,
java.awt.Checkbox.addItemListener(ItemListener),void,
java.awt.Checkbox.removeItemListener(ItemListener),void,
java.awt.Checkbox.getItemListeners(),ItemListener[],all of this checkbox's ItemListeners or an empty array if no item listeners are currently registered
java.awt.Checkbox.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this checkbox, or an empty array if no such listeners have been added"
java.awt.Checkbox.processEvent(AWTEvent),void,
java.awt.Checkbox.processItemEvent(ItemEvent),void,
java.awt.Checkbox.paramString(),String,the parameter string of this check box
java.awt.Checkbox.getAccessibleContext(),AccessibleContext,an AccessibleAWTCheckbox that serves as the AccessibleContext of this Checkbox
java.awt.CheckboxGroup.getSelectedCheckbox(),Checkbox,"the check box that is currently in the ""on"" state, or null."
java.awt.CheckboxGroup.getCurrent(),Checkbox,
java.awt.CheckboxGroup.setSelectedCheckbox(Checkbox),void,
java.awt.CheckboxGroup.setCurrent(Checkbox),void,
java.awt.CheckboxGroup.toString(),String,a string representation of this check box group.
java.awt.CheckboxMenuItem.addNotify(),void,
java.awt.CheckboxMenuItem.getState(),boolean,"the state of this check box menu item, where true indicates ""on"" and false indicates ""off"""
java.awt.CheckboxMenuItem.setState(boolean),void,
java.awt.CheckboxMenuItem.getSelectedObjects(),Object[],
java.awt.CheckboxMenuItem.addItemListener(ItemListener),void,
java.awt.CheckboxMenuItem.removeItemListener(ItemListener),void,
java.awt.CheckboxMenuItem.getItemListeners(),ItemListener[],all of this checkbox menuitem's ItemListeners or an empty array if no item listeners are currently registered
java.awt.CheckboxMenuItem.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this checkbox menuitem, or an empty array if no such listeners have been added"
java.awt.CheckboxMenuItem.processEvent(AWTEvent),void,
java.awt.CheckboxMenuItem.processItemEvent(ItemEvent),void,
java.awt.CheckboxMenuItem.paramString(),String,the parameter string of this check box menu item
java.awt.CheckboxMenuItem.getAccessibleContext(),AccessibleContext,an AccessibleAWTCheckboxMenuItem that serves as the AccessibleContext of this CheckboxMenuItem
java.awt.Choice.addNotify(),void,
java.awt.Choice.getItemCount(),int,the number of items in this Choice menu
java.awt.Choice.countItems(),int,
java.awt.Choice.getItem(int),String,
java.awt.Choice.add(String),void,
java.awt.Choice.addItem(String),void,
"java.awt.Choice.insert(String,int)",void,
java.awt.Choice.remove(String),void,
java.awt.Choice.remove(int),void,
java.awt.Choice.removeAll(),void,
java.awt.Choice.getSelectedItem(),String,a string representation of the currently selected item in this choice menu
java.awt.Choice.getSelectedObjects(),Object[],
java.awt.Choice.getSelectedIndex(),int,"the index of the currently selected item, or -1 if nothing is currently selected"
java.awt.Choice.select(int),void,
java.awt.Choice.select(String),void,
java.awt.Choice.addItemListener(ItemListener),void,
java.awt.Choice.removeItemListener(ItemListener),void,
java.awt.Choice.getItemListeners(),ItemListener[],all of this choice's ItemListeners or an empty array if no item listeners are currently registered
java.awt.Choice.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this choice, or an empty array if no such listeners have been added"
java.awt.Choice.processEvent(AWTEvent),void,
java.awt.Choice.processItemEvent(ItemEvent),void,
java.awt.Choice.paramString(),String,the parameter string of this Choice menu
java.awt.Choice.getAccessibleContext(),AccessibleContext,an AccessibleAWTChoice that serves as the AccessibleContext of this Choice
java.awt.Color.getRed(),int,the red component.
java.awt.Color.getGreen(),int,the green component.
java.awt.Color.getBlue(),int,the blue component.
java.awt.Color.getAlpha(),int,the alpha component.
java.awt.Color.getRGB(),int,the RGB value of the color in the default sRGB ColorModel.
java.awt.Color.brighter(),Color,a new Color object that is a brighter version of this Color with the same alpha value.
java.awt.Color.darker(),Color,a new Color object that is a darker version of this Color with the same alpha value.
java.awt.Color.hashCode(),int,a hash code value for this object.
java.awt.Color.equals(Object),boolean,true if the objects are the same; false otherwise.
java.awt.Color.toString(),String,a string representation of this Color.
java.awt.Color.decode(String),Color,the new Color object.
java.awt.Color.getColor(String),Color,the Color converted from the system property.
"java.awt.Color.getColor(String,Color)",Color,"the Color converted from the system property, or the specified Color."
"java.awt.Color.getColor(String,int)",Color,the Color converted from the system property or the Color converted from the specified integer.
"java.awt.Color.HSBtoRGB(float,float,float)",int,"the RGB value of the color with the indicated hue, saturation, and brightness."
"java.awt.Color.RGBtoHSB(int,int,int,float[])",float[],"an array of three elements containing the hue, saturation, and brightness (in that order), of the color with the indicated red, green, and blue components."
"java.awt.Color.getHSBColor(float,float,float)",Color,"a Color object with the specified hue, saturation, and brightness."
java.awt.Color.getRGBComponents(float[]),float[],the RGBA components in a float array.
java.awt.Color.getRGBColorComponents(float[]),float[],the RGB components in a float array.
java.awt.Color.getComponents(float[]),float[],the color and alpha components in a float array.
java.awt.Color.getColorComponents(float[]),float[],the color components in a float array.
"java.awt.Color.getComponents(ColorSpace,float[])",float[],the color and alpha components in a float array.
"java.awt.Color.getColorComponents(ColorSpace,float[])",float[],the color components in a float array.
java.awt.Color.getColorSpace(),ColorSpace,this Color object's ColorSpace.
"java.awt.Color.createContext(ColorModel,Rectangle,Rectangle2D,AffineTransform,RenderingHints)",PaintContext,the PaintContext for generating color patterns.
java.awt.Color.getTransparency(),int,this Color object's transparency mode.
java.awt.Component.getName(),String,this component's name
java.awt.Component.setName(String),void,
java.awt.Component.getParent(),Container,the parent container of this component
java.awt.Component.getPeer(),java.awt.peer.ComponentPeer,
java.awt.Component.setDropTarget(DropTarget),void,
java.awt.Component.getDropTarget(),DropTarget,
java.awt.Component.getGraphicsConfiguration(),GraphicsConfiguration,the GraphicsConfiguration used by this Component or null
java.awt.Component.getTreeLock(),Object,this component's locking object
java.awt.Component.getToolkit(),Toolkit,the toolkit of this component
java.awt.Component.isValid(),boolean,"true if the component is valid, false otherwise"
java.awt.Component.isDisplayable(),boolean,"true if the component is displayable, false otherwise"
java.awt.Component.isVisible(),boolean,"true if the component is visible, false otherwise"
java.awt.Component.getMousePosition(),Point,"mouse coordinates relative to this Component, or null"
java.awt.Component.isShowing(),boolean,
java.awt.Component.isEnabled(),boolean,"true if the component is enabled, false otherwise"
java.awt.Component.setEnabled(boolean),void,
java.awt.Component.enable(),void,
java.awt.Component.enable(boolean),void,
java.awt.Component.disable(),void,
java.awt.Component.isDoubleBuffered(),boolean,false by default
java.awt.Component.enableInputMethods(boolean),void,
java.awt.Component.setVisible(boolean),void,
java.awt.Component.show(),void,
java.awt.Component.show(boolean),void,
java.awt.Component.hide(),void,
java.awt.Component.getForeground(),Color,"this component's foreground color; if this component does not have a foreground color, the foreground color of its parent is returned"
java.awt.Component.setForeground(Color),void,
java.awt.Component.isForegroundSet(),boolean,true if the foreground color has been explicitly set for this Component; false otherwise.
java.awt.Component.getBackground(),Color,"this component's background color; if this component does not have a background color, the background color of its parent is returned"
java.awt.Component.setBackground(Color),void,
java.awt.Component.isBackgroundSet(),boolean,true if the background color has been explicitly set for this Component; false otherwise.
java.awt.Component.getFont(),Font,"this component's font; if a font has not been set for this component, the font of its parent is returned"
java.awt.Component.setFont(Font),void,
java.awt.Component.isFontSet(),boolean,true if the font has been explicitly set for this Component; false otherwise.
java.awt.Component.getLocale(),Locale,"this component's locale; if this component does not have a locale, the locale of its parent is returned"
java.awt.Component.setLocale(Locale),void,
java.awt.Component.getColorModel(),ColorModel,the color model used by this component
java.awt.Component.getLocation(),Point,an instance of Point representing the top-left corner of the component's bounds in the coordinate space of the component's parent
java.awt.Component.getLocationOnScreen(),Point,an instance of Point representing the top-left corner of the component's bounds in the coordinate space of the screen
java.awt.Component.location(),Point,
"java.awt.Component.setLocation(int,int)",void,
"java.awt.Component.move(int,int)",void,
java.awt.Component.setLocation(Point),void,
java.awt.Component.getSize(),Dimension,a Dimension object that indicates the size of this component
java.awt.Component.size(),Dimension,
"java.awt.Component.setSize(int,int)",void,
"java.awt.Component.resize(int,int)",void,
java.awt.Component.setSize(Dimension),void,
java.awt.Component.resize(Dimension),void,
java.awt.Component.getBounds(),Rectangle,a rectangle indicating this component's bounds
java.awt.Component.bounds(),Rectangle,
"java.awt.Component.setBounds(int,int,int,int)",void,
"java.awt.Component.reshape(int,int,int,int)",void,
java.awt.Component.setBounds(Rectangle),void,
java.awt.Component.getX(),int,the current x coordinate of the components origin
java.awt.Component.getY(),int,the current y coordinate of the components origin
java.awt.Component.getWidth(),int,the current width of this component
java.awt.Component.getHeight(),int,the current height of this component
java.awt.Component.getBounds(Rectangle),Rectangle,rv
java.awt.Component.getSize(Dimension),Dimension,rv
java.awt.Component.getLocation(Point),Point,rv
java.awt.Component.isOpaque(),boolean,true if this component is completely opaque
java.awt.Component.isLightweight(),boolean,true if this component has a lightweight peer; false if it has a native peer or no peer
java.awt.Component.setPreferredSize(Dimension),void,
java.awt.Component.isPreferredSizeSet(),boolean,true if setPreferredSize has been invoked with a non-null value.
java.awt.Component.getPreferredSize(),Dimension,a dimension object indicating this component's preferred size
java.awt.Component.preferredSize(),Dimension,
java.awt.Component.setMinimumSize(Dimension),void,
java.awt.Component.isMinimumSizeSet(),boolean,true if setMinimumSize has been invoked with a non-null value.
java.awt.Component.getMinimumSize(),Dimension,a dimension object indicating this component's minimum size
java.awt.Component.minimumSize(),Dimension,
java.awt.Component.setMaximumSize(Dimension),void,
java.awt.Component.isMaximumSizeSet(),boolean,"true if maximumSize is non-null, false otherwise"
java.awt.Component.getMaximumSize(),Dimension,a dimension object indicating this component's maximum size
java.awt.Component.getAlignmentX(),float,
java.awt.Component.getAlignmentY(),float,
"java.awt.Component.getBaseline(int,int)",int,the baseline or &lt; 0 indicating there is no reasonable baseline
java.awt.Component.getBaselineResizeBehavior(),Component.BaselineResizeBehavior,an enum indicating how the baseline changes as the component size changes
java.awt.Component.doLayout(),void,
java.awt.Component.layout(),void,
java.awt.Component.validate(),void,
java.awt.Component.invalidate(),void,
java.awt.Component.revalidate(),void,
java.awt.Component.getGraphics(),Graphics,"a graphics context for this component, or null if it has none"
java.awt.Component.getFontMetrics(Font),FontMetrics,the font metrics for font
java.awt.Component.setCursor(Cursor),void,
java.awt.Component.getCursor(),Cursor,
java.awt.Component.isCursorSet(),boolean,true if the cursor has been explicitly set for this Component; false otherwise.
java.awt.Component.paint(Graphics),void,
java.awt.Component.update(Graphics),void,
java.awt.Component.paintAll(Graphics),void,
java.awt.Component.repaint(),void,
java.awt.Component.repaint(long),void,
"java.awt.Component.repaint(int,int,int,int)",void,
"java.awt.Component.repaint(long,int,int,int,int)",void,
java.awt.Component.print(Graphics),void,
java.awt.Component.printAll(Graphics),void,
"java.awt.Component.imageUpdate(Image,int,int,int,int,int)",boolean,false if the infoflags indicate that the image is completely loaded; true otherwise.
java.awt.Component.createImage(ImageProducer),Image,the image produced
"java.awt.Component.createImage(int,int)",Image,"an off-screen drawable image, which can be used for double buffering. The return value may be null if the component is not displayable. This will always happen if GraphicsEnvironment.isHeadless() returns true."
"java.awt.Component.createVolatileImage(int,int)",VolatileImage,"an off-screen drawable image, which can be used for double buffering. The return value may be null if the component is not displayable. This will always happen if GraphicsEnvironment.isHeadless() returns true."
"java.awt.Component.createVolatileImage(int,int,ImageCapabilities)",VolatileImage,"a VolatileImage object, which can be used to manage surface contents loss and capabilities."
"java.awt.Component.prepareImage(Image,ImageObserver)",boolean,true if the image has already been fully prepared; false otherwise
"java.awt.Component.prepareImage(Image,int,int,ImageObserver)",boolean,true if the image has already been fully prepared; false otherwise
"java.awt.Component.checkImage(Image,ImageObserver)",int,the bitwise inclusive OR of ImageObserver flags indicating what information about the image is currently available
