method,throws,throws_description
java.awt.CheckboxMenuItem.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Choice.add(String),NullPointerException , if the item's value is null
java.awt.Choice.addItem(String),NullPointerException , if the item's value is equal to null
"java.awt.Choice.insert(String,int)",IllegalArgumentException , if index is less than 0
java.awt.Choice.remove(String),IllegalArgumentException , if the item doesn't exist in the choice menu
java.awt.Choice.remove(int),IndexOutOfBoundsException , if the specified position is out of bounds
java.awt.Choice.select(int),IllegalArgumentException , if the specified position is greater than the number of items or less than zero
java.awt.Choice.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Color.decode(String),NumberFormatException ," if the specified string cannot be interpreted as a decimal, octal, or hexadecimal integer."
java.awt.Component.getMousePosition(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Component.getLocale(),IllegalComponentStateException , if the Component does not have its own locale and has not yet been added to a containment hierarchy such that the locale can be determined from the containing parent
java.awt.Component.getLocationOnScreen(),IllegalComponentStateException , if the component is not showing on the screen
java.awt.Component.setSize(Dimension),NullPointerException , if d is null
java.awt.Component.setBounds(Rectangle),NullPointerException , if r is null
"java.awt.Component.getBaseline(int,int)",IllegalArgumentException , if width or height is &lt; 0
"java.awt.Component.createVolatileImage(int,int,ImageCapabilities)",AWTException , if an image with the specified capabilities cannot be created
java.awt.Component.contains(Point),NullPointerException , if p is null
java.awt.Component.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?)",IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or if keystrokes contains null, or if any keystroke represents a KEY_TYPED event, or if any keystroke already maps to another focus traversal operation for this Component"
java.awt.Component.getFocusTraversalKeys(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS"
java.awt.Component.areFocusTraversalKeysSet(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS"
java.awt.Component.add(PopupMenu),NullPointerException , if popup is null
java.awt.Component.list(PrintStream),NullPointerException , if out is null
"java.awt.Component.list(PrintStream,int)",NullPointerException , if out is null
java.awt.Component.list(PrintWriter),NullPointerException , if out is null
"java.awt.Component.list(PrintWriter,int)",NullPointerException , if out is null
java.awt.Component.applyComponentOrientation(ComponentOrientation),NullPointerException , if orientation is null.
java.awt.Container.getComponent(int),ArrayIndexOutOfBoundsException , if the nth value does not exist.
java.awt.Container.add(Component),NullPointerException , if comp is null
"java.awt.Container.add(String,Component)",NullPointerException , if comp is null
"java.awt.Container.add(Component,int)",NullPointerException , if comp is null
"java.awt.Container.setComponentZOrder(Component,int)",NullPointerException , if comp is null
"java.awt.Container.add(Component,Object)",NullPointerException , if comp is null
"java.awt.Container.add(Component,Object,int)",NullPointerException , if comp is null
"java.awt.Container.addImpl(Component,Object,int)",IllegalArgumentException ," if index is invalid; if comp is a child of this container, the valid range is [-1, getComponentCount()-1]; if component is not a child of this container, the valid range is [-1, getComponentCount()]"
java.awt.Container.remove(int),ArrayIndexOutOfBoundsException ," if index is not in range [0, getComponentCount()-1]"
java.awt.Container.remove(Component),NullPointerException , if comp is null
java.awt.Container.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Container.getMousePosition(boolean),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Container.findComponentAt(Point),NullPointerException , if p is null
"java.awt.Container.list(PrintStream,int)",NullPointerException , if out is null
"java.awt.Container.list(PrintWriter,int)",NullPointerException , if out is null
"java.awt.Container.setFocusTraversalKeys(int,Set&lt;?)",IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS, or if keystrokes contains null, or if any keystroke represents a KEY_TYPED event, or if any keystroke already maps to another focus traversal operation for this Container"
java.awt.Container.getFocusTraversalKeys(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS"
java.awt.Container.areFocusTraversalKeysSet(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS"
java.awt.Container.applyComponentOrientation(ComponentOrientation),NullPointerException , if orientation is null.
"java.awt.ContainerOrderFocusTraversalPolicy.getComponentAfter(Container,Component)",IllegalArgumentException ," if aContainer is not a focus cycle root of aComponent or focus traversal policy provider, or if either aContainer or aComponent is null"
"java.awt.ContainerOrderFocusTraversalPolicy.getComponentBefore(Container,Component)",IllegalArgumentException ," if aContainer is not a focus cycle root of aComponent or focus traversal policy provider, or if either aContainer or aComponent is null"
java.awt.ContainerOrderFocusTraversalPolicy.getFirstComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.ContainerOrderFocusTraversalPolicy.getLastComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.ContainerOrderFocusTraversalPolicy.getDefaultComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.Cursor.getPredefinedCursor(int),IllegalArgumentException , if the specified cursor type is invalid
java.awt.Cursor.getSystemCustomCursor(String),HeadlessException , if GraphicsEnvironment.isHeadless returns true
java.awt.Desktop.getDesktop(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Desktop.open(File),NullPointerException , if file is null
java.awt.Desktop.edit(File),NullPointerException , if the specified file is null
java.awt.Desktop.print(File),NullPointerException , if the specified file is null
java.awt.Desktop.browse(URI),NullPointerException , if uri is null
java.awt.Desktop.mail(),UnsupportedOperationException , if the current platform does not support the Desktop.Action.MAIL action
java.awt.Desktop.mail(URI),NullPointerException , if the specified URI is null
java.awt.Dialog.setModalityType(Dialog.ModalityType),SecurityException , if the calling thread does not have permission to create modal dialogs with the given modalityType
java.awt.Dialog.setUndecorated(boolean),IllegalComponentStateException , if the dialog is displayable
java.awt.EventQueue.postEvent(AWTEvent),NullPointerException , if theEvent is null
java.awt.EventQueue.getNextEvent(),InterruptedException , if any thread has interrupted this thread
java.awt.EventQueue.dispatchEvent(AWTEvent),NullPointerException , if event is null
java.awt.EventQueue.push(EventQueue),NullPointerException , if newEventQueue is null
java.awt.EventQueue.pop(),EmptyStackException , if no previous push was made on this EventQueue
java.awt.EventQueue.invokeAndWait(Runnable),InterruptedException , if any thread has interrupted this thread
java.awt.FileDialog.setMode(int),IllegalArgumentException , if an illegal file dialog mode is supplied
"java.awt.FocusTraversalPolicy.getComponentAfter(Container,Component)",IllegalArgumentException ," if aContainer is not a focus cycle root of aComponent or a focus traversal policy provider, or if either aContainer or aComponent is null"
"java.awt.FocusTraversalPolicy.getComponentBefore(Container,Component)",IllegalArgumentException ," if aContainer is not a focus cycle root of aComponent or a focus traversal policy provider, or if either aContainer or aComponent is null"
java.awt.FocusTraversalPolicy.getFirstComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.FocusTraversalPolicy.getLastComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.FocusTraversalPolicy.getDefaultComponent(Container),IllegalArgumentException , if aContainer is null
java.awt.FocusTraversalPolicy.getInitialComponent(Window),IllegalArgumentException , if window is null
"java.awt.Font.getFont(Map&lt;?,?&gt;)",NullPointerException , if attributes is null.
"java.awt.Font.createFont(int,InputStream)",IllegalArgumentException , if fontFormat is not TRUETYPE_FONTorTYPE1_FONT.
"java.awt.Font.createFont(int,File)",IllegalArgumentException , if fontFormat is not TRUETYPE_FONTorTYPE1_FONT.
java.awt.Font.getFont(String),NullPointerException , if nm is null.
"java.awt.Font.getFont(String,Font)",NullPointerException , if nm is null.
"java.awt.Font.deriveFont(int,AffineTransform)",IllegalArgumentException , if trans is null
java.awt.Font.deriveFont(AffineTransform),IllegalArgumentException , if trans is null
java.awt.Font.canDisplay(int),IllegalArgumentException , if the code point is not a valid Unicode code point.
"java.awt.Font.getStringBounds(String,int,int,FontRenderContext)",IndexOutOfBoundsException ," if beginIndex is less than zero, or limit is greater than the length of str, or beginIndex is greater than limit."
"java.awt.Font.getStringBounds(char[],int,int,FontRenderContext)",IndexOutOfBoundsException ," if beginIndex is less than zero, or limit is greater than the length of chars, or beginIndex is greater than limit."
"java.awt.Font.getStringBounds(CharacterIterator,int,int,FontRenderContext)",IndexOutOfBoundsException ," if beginIndex is less than the start index of ci, or limit is greater than the end index of ci, or beginIndex is greater than limit"
"java.awt.Font.layoutGlyphVector(FontRenderContext,char[],int,int,int)",ArrayIndexOutOfBoundsException , if start or limit is out of bounds
java.awt.FontMetrics.stringWidth(String),NullPointerException , if str is null.
"java.awt.FontMetrics.charsWidth(char[],int,int)",NullPointerException , if data is null.
"java.awt.FontMetrics.bytesWidth(byte[],int,int)",NullPointerException , if data is null.
java.awt.Frame.setUndecorated(boolean),IllegalComponentStateException , if the frame is displayable
"java.awt.Graphics.drawString(String,int,int)",NullPointerException , if str is null.
"java.awt.Graphics.drawString(AttributedCharacterIterator,int,int)",NullPointerException , if iterator is null.
"java.awt.Graphics.drawChars(char[],int,int,int,int)",NullPointerException , if data is null.
"java.awt.Graphics.drawBytes(byte[],int,int,int,int)",NullPointerException , if data is null.
"java.awt.Graphics2D.drawString(String,int,int)",NullPointerException , if str is null
"java.awt.Graphics2D.drawString(String,float,float)",NullPointerException , if str is null
"java.awt.Graphics2D.drawString(AttributedCharacterIterator,int,int)",NullPointerException , if iterator is null
"java.awt.Graphics2D.drawString(AttributedCharacterIterator,float,float)",NullPointerException , if iterator is null
"java.awt.Graphics2D.drawGlyphVector(GlyphVector,float,float)",NullPointerException , if g is null.
java.awt.Graphics2D.setComposite(Composite),SecurityException , if a custom Composite object is being used to render to the screen and a security manager is set and its checkPermission method does not allow the operation.
"java.awt.GraphicsConfiguration.createCompatibleImage(int,int,int)",IllegalArgumentException , if the transparency is not a valid value
"java.awt.GraphicsConfiguration.createCompatibleVolatileImage(int,int,int)",IllegalArgumentException , if the transparency is not a valid value
"java.awt.GraphicsConfiguration.createCompatibleVolatileImage(int,int,ImageCapabilities)",AWTException , if the supplied image capabilities could not be met by this graphics configuration
"java.awt.GraphicsConfiguration.createCompatibleVolatileImage(int,int,ImageCapabilities,int)",IllegalArgumentException , if the transparency is not a valid value
java.awt.GraphicsDevice.setDisplayMode(DisplayMode),IllegalArgumentException ," if the DisplayMode supplied is null, or is not available in the array returned by getDisplayModes"
java.awt.GraphicsEnvironment.getScreenDevices(),HeadlessException , if isHeadless() returns true
java.awt.GraphicsEnvironment.getDefaultScreenDevice(),HeadlessException , if isHeadless() returns true
java.awt.GraphicsEnvironment.createGraphics(BufferedImage),NullPointerException , if img is null
java.awt.GraphicsEnvironment.getCenterPoint(),HeadlessException , if isHeadless() returns true
java.awt.GraphicsEnvironment.getMaximumWindowBounds(),HeadlessException , if isHeadless() returns true
"java.awt.GridBagLayout.addLayoutComponent(Component,Object)",IllegalArgumentException , if constraints is not a GridBagConstraint
java.awt.GridLayout.setRows(int),IllegalArgumentException , if the value of both rows and cols is set to zero
java.awt.GridLayout.setColumns(int),IllegalArgumentException , if the value of both rows and cols is set to zero
java.awt.Image.getGraphics(),UnsupportedOperationException , if called for a non-off-screen image.
"java.awt.Image.getProperty(String,ImageObserver)",NullPointerException , if the property name is null.
"java.awt.Image.getScaledInstance(int,int,int)",IllegalArgumentException , if width or height is zero.
java.awt.Image.setAccelerationPriority(float),IllegalArgumentException , if priority is less than zero or greater than 1.
java.awt.JobAttributes.setCopies(int),IllegalArgumentException , if copies is less than or equal to 0
java.awt.JobAttributes.setDefaultSelection(JobAttributes.DefaultSelectionType),IllegalArgumentException , if defaultSelection is null
java.awt.JobAttributes.setDestination(JobAttributes.DestinationType),IllegalArgumentException , if destination is null.
java.awt.JobAttributes.setDialog(JobAttributes.DialogType),IllegalArgumentException , if dialog is null.
java.awt.JobAttributes.setFromPage(int),IllegalArgumentException , if one or more of the above conditions is violated.
java.awt.JobAttributes.setMaxPage(int),IllegalArgumentException , if one or more of the above conditions is violated
java.awt.JobAttributes.setMinPage(int),IllegalArgumentException , if one or more of the above conditions is violated.
java.awt.JobAttributes.setMultipleDocumentHandling(JobAttributes.MultipleDocumentHandlingType),IllegalArgumentException , if multipleDocumentHandling is null.
java.awt.JobAttributes.setPageRanges(int[][]),IllegalArgumentException , if one or more of the above conditions is violated.
java.awt.JobAttributes.setSides(JobAttributes.SidesType),IllegalArgumentException , if sides is null.
java.awt.JobAttributes.setToPage(int),IllegalArgumentException , if one or more of the above conditions is violated.
java.awt.KeyboardFocusManager.setCurrentKeyboardFocusManager(KeyboardFocusManager),SecurityException , if the calling thread does not have permission to replace the current KeyboardFocusManager
java.awt.KeyboardFocusManager.getGlobalFocusOwner(),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setGlobalFocusOwner(Component),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.clearGlobalFocusOwner(),SecurityException ," if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.getGlobalPermanentFocusOwner(),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setGlobalPermanentFocusOwner(Component),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.getGlobalFocusedWindow(),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setGlobalFocusedWindow(Window),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.getGlobalActiveWindow(),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setGlobalActiveWindow(Window),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setDefaultFocusTraversalPolicy(FocusTraversalPolicy),IllegalArgumentException , if defaultPolicy is null
"java.awt.KeyboardFocusManager.setDefaultFocusTraversalKeys(int,Set&lt;?)",IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS, or if keystrokes is null, or if keystrokes contains null, or if any keystroke represents a KEY_TYPED event, or if any keystroke already maps to another default focus traversal operation"
java.awt.KeyboardFocusManager.getDefaultFocusTraversalKeys(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS"
java.awt.KeyboardFocusManager.getGlobalCurrentFocusCycleRoot(),SecurityException ," if this KeyboardFocusManager is not the current KeyboardFocusManager for the calling thread's context and if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
java.awt.KeyboardFocusManager.setGlobalCurrentFocusCycleRoot(Container),SecurityException ," if the calling thread does not have ""replaceKeyboardFocusManager"" permission"
"java.awt.KeyboardFocusManager.fireVetoableChange(String,Object,Object)",PropertyVetoException , if a VetoableChangeListener threw PropertyVetoException
java.awt.Label.setAlignment(int),IllegalArgumentException , if an improper value for alignment is given.
"java.awt.List.replaceItem(String,int)",ArrayIndexOutOfBoundsException , if index is out of range
java.awt.List.remove(String),IllegalArgumentException , if the item doesn't exist in the list
java.awt.List.remove(int),ArrayIndexOutOfBoundsException , if the position is less than 0 or greater than getItemCount()-1
java.awt.List.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.MediaTracker.waitForAll(),InterruptedException , if any thread has interrupted this thread
java.awt.MediaTracker.waitForAll(long),InterruptedException , if any thread has interrupted this thread.
java.awt.MediaTracker.waitForID(int),InterruptedException , if any thread has interrupted this thread.
"java.awt.MediaTracker.waitForID(int,long)",InterruptedException , if any thread has interrupted this thread.
"java.awt.Menu.insert(MenuItem,int)",IllegalArgumentException , if the value of index is less than zero
"java.awt.Menu.insert(String,int)",IllegalArgumentException , if the value of index is less than zero
java.awt.Menu.insertSeparator(int),IllegalArgumentException , if the value of index is less than 0.
java.awt.MenuItem.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.MouseInfo.getPointerInfo(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.MouseInfo.getNumberOfButtons(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.PageAttributes.setColor(PageAttributes.ColorType),IllegalArgumentException , if color is null.
java.awt.PageAttributes.setMedia(PageAttributes.MediaType),IllegalArgumentException , if media is null.
java.awt.PageAttributes.setOrientationRequested(PageAttributes.OrientationRequestedType),IllegalArgumentException , if orientationRequested is null.
java.awt.PageAttributes.setOrientationRequested(int),IllegalArgumentException , if orientationRequested is not 3 or 4
java.awt.PageAttributes.setOrigin(PageAttributes.OriginType),IllegalArgumentException , if origin is null.
java.awt.PageAttributes.setPrintQuality(PageAttributes.PrintQualityType),IllegalArgumentException , if printQuality is null.
java.awt.PageAttributes.setPrintQuality(int),IllegalArgumentException ," if printQuality is not 3 , 4, or 5"
java.awt.PageAttributes.setPrinterResolution(int[]),IllegalArgumentException , if one or more of the above conditions is violated.
java.awt.PageAttributes.setPrinterResolution(int),IllegalArgumentException , if printerResolution is less than or equal to 0.
"java.awt.PopupMenu.show(Component,int,int)",NullPointerException , if the parent is null
java.awt.RenderingHints.containsKey(Object),ClassCastException , if the key can not be cast to RenderingHints.Key
java.awt.RenderingHints.get(Object),ClassCastException , if the key can not be cast to RenderingHints.Key
"java.awt.RenderingHints.put(Object,Object)",NullPointerException , if the key is null.
java.awt.RenderingHints.remove(Object),ClassCastException , if the key can not be cast to RenderingHints.Key
"java.awt.RenderingHints.putAll(Map&lt;?,?&gt;)",ClassCastException , class of a key or value in the specified Map prevents it from being stored in this RenderingHints.
java.awt.Robot.keyPress(int),IllegalArgumentException , if keycode is not a valid key
java.awt.Robot.keyRelease(int),IllegalArgumentException , if keycode is not a valid key
java.awt.Robot.createScreenCapture(Rectangle),IllegalArgumentException , if screenRect width and height are not greater than zero
java.awt.Robot.setAutoDelay(int),IllegalArgumentException ," If ms is not between 0 and 60,000 milliseconds inclusive"
java.awt.Robot.delay(int),IllegalArgumentException ," if ms is not between 0 and 60,000 milliseconds inclusive"
java.awt.Robot.waitForIdle(),IllegalThreadStateException , if called on the AWT event dispatching thread
java.awt.Scrollbar.setOrientation(int),IllegalArgumentException , if the value supplied for orientation is not a legal value
java.awt.Scrollbar.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
"java.awt.ScrollPane.setScrollPosition(int,int)",NullPointerException , if the scrollpane does not contain a child
java.awt.ScrollPane.setScrollPosition(Point),NullPointerException , if p is null
java.awt.ScrollPane.getScrollPosition(),NullPointerException , if the scrollpane does not contain a child
java.awt.ScrollPaneAdjustable.setMinimum(int),AWTError , Always throws an error when called.
java.awt.ScrollPaneAdjustable.setMaximum(int),AWTError , Always throws an error when called.
java.awt.ScrollPaneAdjustable.setVisibleAmount(int),AWTError , Always throws an error when called.
java.awt.SplashScreen.getSplashScreen(),UnsupportedOperationException , if the splash screen feature is not supported by the current toolkit
java.awt.SplashScreen.setImageURL(URL),NullPointerException , if imageURL is null
java.awt.SplashScreen.getImageURL(),IllegalStateException , if the splash screen has already been closed
java.awt.SplashScreen.getBounds(),IllegalStateException , if the splash screen has already been closed
java.awt.SplashScreen.getSize(),IllegalStateException , if the splash screen has already been closed
java.awt.SplashScreen.createGraphics(),IllegalStateException , if the splash screen has already been closed
java.awt.SplashScreen.update(),IllegalStateException ," if the overlay image does not exist; for example, if createGraphics has never been called, or if the splash screen has already been closed"
java.awt.SplashScreen.close(),IllegalStateException , if the splash screen has already been closed
java.awt.SystemTray.getSystemTray(),UnsupportedOperationException , if the system tray isn't supported by the current platform
java.awt.SystemTray.add(TrayIcon),NullPointerException , if trayIcon is null
java.awt.TextArea.setRows(int),IllegalArgumentException , if the value supplied for rows is less than 0
java.awt.TextArea.setColumns(int),IllegalArgumentException , if the value supplied for columns is less than 0
java.awt.TextComponent.setCaretPosition(int),IllegalArgumentException , if position is less than zero
java.awt.TextComponent.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.TextField.setColumns(int),IllegalArgumentException , if the value supplied for columns is less than 0.
java.awt.TextField.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Toolkit.createDesktopPeer(Desktop),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createButton(Button),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createTextField(TextField),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createLabel(Label),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createList(List),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createCheckbox(Checkbox),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createScrollbar(Scrollbar),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createScrollPane(ScrollPane),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createTextArea(TextArea),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createChoice(Choice),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createFrame(Frame),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createWindow(Window),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createDialog(Dialog),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createMenuBar(MenuBar),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createMenu(Menu),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createPopupMenu(PopupMenu),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createMenuItem(MenuItem),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createFileDialog(FileDialog),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.createCheckboxMenuItem(CheckboxMenuItem),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getMouseInfoPeer(),UnsupportedOperationException , if this operation is not implemented
java.awt.Toolkit.loadSystemColors(int[]),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.setDynamicLayout(boolean),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.isDynamicLayoutSet(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.isDynamicLayoutActive(),HeadlessException , if the GraphicsEnvironment.isHeadless() method returns true
java.awt.Toolkit.getScreenSize(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getScreenResolution(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
